
台灣,#genre#
珍珠台  備用,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=pearl_hkdavid
鳳凰香港,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=hkphoenix_twn
無線財經資訊台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=tvbcaijing_twn
TVB 星河,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=tvbxinhe_twn
RHK 31,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=rhk31_twn
VIUTV1,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=viu1_twn
RHK 32,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=rhk32_twn
鳳凰衛視,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=phoenixtv_hd
鳳凰資訊,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=phoenixinfo_hd
Viu6,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=viusix_twn
Viu TV 69,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=viutv69_hkdavid
翡翠台 backup,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=jade_mike
Tvbmagic,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Tvbmagic
中國,#genre#
CCTV-1 綜合 HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv1
CCTV-2 財經,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv2
CCTV-3 綜藝 HD,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv3
CCTV-4 中文國際,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=cctv4
CCTV4 新聞台,http://A/ku9/js/ku9-smart.js?ip=50.7.234.10:8278&id=Cctv4
