
台灣,#genre#
CCTV-6,http://192.168.0.114:6789/Smartv1.php?id=cctv6
CINEMAX,http://192.168.0.114:6789/Smartv1.php?id=cinemax_twn
Cinemax,http://192.168.0.114:6789/Smartv1.php?id=Cinemax
AXN Taiwan,http://192.168.0.114:6789/Smartv1.php?id=axn_twn
大愛2台,http://192.168.0.114:6789/Smartv1.php?id=catchplay_twn
東森電影 ETTV Movie,http://192.168.0.114:6789/Smartv1.php?id=ettvmovie
東森洋片 ETTV Western,http://192.168.0.114:6789/Smartv1.php?id=ettvwestern
龍華洋片 Lunghua Western,http://192.168.0.114:6789/Smartv1.php?id=lunghuawestern_twn
龍詳時代,http://192.168.0.114:6789/Smartv1.php?id=lungxiangtime_twn
Animax,http://192.168.0.114:6789/Smartv1.php?id=Animax
Movies Now HD,http://192.168.0.114:6789/Smartv1.php?id=moviesnow_raj
Star Movies HD,http://192.168.0.114:6789/Smartv1.php?id=starmovies_raj
衛視中文台 Star Movies Chinese,http://192.168.0.114:6789/Smartv1.php?id=weishichinese_twn
HBO Family,http://192.168.0.114:6789/Smartv1.php?id=Hbofamily
HBO Hits HD,http://192.168.0.114:6789/Smartv1.php?id=Hbohits
HBO HD,http://192.168.0.114:6789/Smartv1.php?id=Hbo
衛視電影台,http://192.168.0.114:6789/Smartv1.php?id=weishimovie_twn
HBO Signature,http://192.168.0.114:6789/Smartv1.php?id=Hbosignature
Hits,http://192.168.0.114:6789/Smartv1.php?id=Hits
Warner TV,http://192.168.0.114:6789/Smartv1.php?id=WarnerTV
美亞電影,http://192.168.0.114:6789/Smartv1.php?id=meiyamovie_twn
星衛電影,http://192.168.0.114:6789/Smartv1.php?id=xingwei_movie
SCM,http://192.168.0.114:6789/Smartv1.php?id=Weishimovie
Thrill,http://192.168.0.114:6789/Smartv1.php?id=Thrill
One,http://192.168.0.114:6789/Smartv1.php?id=One_mega
Hits Movie,http://192.168.0.114:6789/Smartv1.php?id=Hitsmovie
tvN Movie,http://192.168.0.114:6789/Smartv1.php?id=Tvnmovie
Celestial Classic,http://192.168.0.114:6789/Smartv1.php?id=Celestial2
Sony Pix HD,http://192.168.0.114:6789/Smartv1.php?id=sonypix_mega
Celestial Movies HD,http://192.168.0.114:6789/Smartv1.php?id=Celestialindo
Axn HD,http://192.168.0.114:6789/Smartv1.php?id=Axn
Paramount Network,http://192.168.0.114:6789/Smartv1.php?id=Paramountnetwork
Astrol Kplus,http://192.168.0.114:6789/Smartv1.php?id=Kplus
Rock Actions,http://192.168.0.114:6789/Smartv1.php?id=Rockaction
Rock Entertainment,http://192.168.0.114:6789/Smartv1.php?id=Rockentertain

新聞頻道,#genre#
Skynews,http://192.168.0.114:6789/Smartv1.php?id=skynews_antik
ABC News,http://192.168.0.114:6789/Smartv1.php?id=abcnews_glo
東森財經新聞 ETTV Business,http://192.168.0.114:6789/Smartv1.php?id=ettvcaijing_twn
CBS HD,http://192.168.0.114:6789/Smartv1.php?id=cbshd_glo
CBSN HD,http://192.168.0.114:6789/Smartv1.php?id=cbsn_glo
France 24,http://192.168.0.114:6789/Smartv1.php?id=france24_twn
DW (Deutsch),http://192.168.0.114:6789/Smartv1.php?id=dw_twn
NHK World,http://192.168.0.114:6789/Smartv1.php?id=nhkworld_japan
Fox News,http://192.168.0.114:6789/Smartv1.php?id=foxnews_twn
CGTN,http://192.168.0.114:6789/Smartv1.php?id=CGTN
CNN International,http://192.168.0.114:6789/Smartv1.php?id=Cnn
CNN backup,http://192.168.0.114:6789/Smartv1.php?id=cnn_twn
CNBC,http://192.168.0.114:6789/Smartv1.php?id=cnbc_twn
CNA,http://192.168.0.114:6789/Smartv1.php?id=cna
BBC World News,http://192.168.0.114:6789/Smartv1.php?id=bbcnews_twn
BBC World News,http://192.168.0.114:6789/Smartv1.php?id=Bbcnews
Bloomberg News,http://192.168.0.114:6789/Smartv1.php?id=bloomberg_twn
Al-Jazeera,http://192.168.0.114:6789/Smartv1.php?id=aljazeera_twn

體育頻道,#genre#
Supersports 1,http://192.168.0.114:6789/Smartv1.php?id=Assp1
Supersports 1 backup,http://192.168.0.114:6789/Smartv1.php?id=go_assp1
Supersports 2,http://192.168.0.114:6789/Smartv1.php?id=Assp2
Supersports 2 backup,http://192.168.0.114:6789/Smartv1.php?id=go_assp2
Supersports 3,http://192.168.0.114:6789/Smartv1.php?id=Assp3
Supersports 3 backup,http://192.168.0.114:6789/Smartv1.php?id=go_assp3
Supersports 4,http://192.168.0.114:6789/Smartv1.php?id=Assp4_mega
Supersports 4 backup,http://192.168.0.114:6789/Smartv1.php?id=go_assp4
Supersports 5,http://192.168.0.114:6789/Smartv1.php?id=go_assp5
Beinsports HD,http://192.168.0.114:6789/Smartv1.php?id=Beinhd
True Premium 1,http://192.168.0.114:6789/Smartv1.php?id=truepre1_pat
True Premium 2,http://192.168.0.114:6789/Smartv1.php?id=truepre2_pat
Champion 5 EPL,http://192.168.0.114:6789/Smartv1.php?id=Champion5epl
Champion 6 EPL,http://192.168.0.114:6789/Smartv1.php?id=Champion6epl
WWE,http://192.168.0.114:6789/Smartv1.php?id=Wwe
Fight Sports,http://192.168.0.114:6789/Smartv1.php?id=Fs
UFC Network,http://192.168.0.114:6789/Smartv1.php?id=ufc_mega
NBA TV,http://192.168.0.114:6789/Smartv1.php?id=nbatv_twn
Eurosports 1 HD,http://192.168.0.114:6789/Smartv1.php?id=eurosport1_mega
Eurosport 2 HD,http://192.168.0.114:6789/Smartv1.php?id=eurosport2_mega
Astro Cricket,http://192.168.0.114:6789/Smartv1.php?id=Acricket_mega
Astro Golf,http://192.168.0.114:6789/Smartv1.php?id=Agolf
Sony Ten 1,http://192.168.0.114:6789/Smartv1.php?id=ten1_raj
Sony Ten 2,http://192.168.0.114:6789/Smartv1.php?id=ten2_raj
Sony Ten 3,http://192.168.0.114:6789/Smartv1.php?id=ten3_raj
Sony Six HD,http://192.168.0.114:6789/Smartv1.php?id=sonysix_raj
SPOTV 1 HD,http://192.168.0.114:6789/Smartv1.php?id=go_spotv
SPO TV 2,http://192.168.0.114:6789/Smartv1.php?id=go_spotv2
Beinsports 2 HD,http://192.168.0.114:6789/Smartv1.php?id=Bein2hd
Skysports Arena,http://192.168.0.114:6789/Smartv1.php?id=tiankongarena
Skysports F1,http://192.168.0.114:6789/Smartv1.php?id=tiankongf1
Skysports Cricket,http://192.168.0.114:6789/Smartv1.php?id=tiankongcricket
Skysports EPL,http://192.168.0.114:6789/Smartv1.php?id=tiankongepl
Skysports Football,http://192.168.0.114:6789/Smartv1.php?id=tiankongfootball
Skysports Golf,http://192.168.0.114:6789/Smartv1.php?id=tiankonggolf
Skysports Main Event,http://192.168.0.114:6789/Smartv1.php?id=tiankongmain
Skysports News,http://192.168.0.114:6789/Smartv1.php?id=tiankongnews
Skysports NFL,http://192.168.0.114:6789/Smartv1.php?id=tiankongnfl
Skysports Racing,http://192.168.0.114:6789/Smartv1.php?id=tiankongracing
Skysports Mix,http://192.168.0.114:6789/Smartv1.php?id=tiankongmix
CCTV-5 體育頻道,http://192.168.0.114:6789/Smartv1.php?id=cctv5
Arena,http://192.168.0.114:6789/Smartv1.php?id=Arena
CCTV-5+ 體育賽事 HD,http://192.168.0.114:6789/Smartv1.php?id=cctv5plus
愛爾達體育1台,http://192.168.0.114:6789/Smartv1.php?id=eltasport_twn
愛爾達體育2台,http://192.168.0.114:6789/Smartv1.php?id=eltasport2_twn
愛爾達體育3台,http://192.168.0.114:6789/Smartv1.php?id=eltasport3_twn
Arena 2,http://192.168.0.114:6789/Smartv1.php?id=Arena2
Beins 1 English,http://192.168.0.114:6789/Smartv1.php?id=bein1eng_mega
Bein3 English,http://192.168.0.114:6789/Smartv1.php?id=bein3eng_mega
Bein 4 Sports,http://192.168.0.114:6789/Smartv1.php?id=bein4_mega
Bein 5 Sports,http://192.168.0.114:6789/Smartv1.php?id=bein5_mega
Bein 1 Premium,http://192.168.0.114:6789/Smartv1.php?id=bein1pre_mega
Bein 2 Premium,http://192.168.0.114:6789/Smartv1.php?id=bein2pre_mega
Bein 3 Premium,http://192.168.0.114:6789/Smartv1.php?id=bein3pre_mega
RTM Sports HD,http://192.168.0.114:6789/Smartv1.php?id=Rtmsport
BolaArena 1,http://192.168.0.114:6789/Smartv1.php?id=Bolaarena1
Bein 1 Xtra,http://192.168.0.114:6789/Smartv1.php?id=bein1xtra_mega
Rugby Pass TV,http://192.168.0.114:6789/Smartv1.php?id=Rugbypasstv
Beinsports Rugby,http://192.168.0.114:6789/Smartv1.php?id=go_beinsrugby
Asian Games 1HD,http://192.168.0.114:6789/Smartv1.php?id=Asiangame1
Asian Games 2HD,http://192.168.0.114:6789/Smartv1.php?id=Asiangame2
Asian Games 3HD,http://192.168.0.114:6789/Smartv1.php?id=Asiangame3

兒童頻道,#genre#
Baby TV Eng,http://192.168.0.114:6789/Smartv1.php?id=Babytv
CBeebies,http://192.168.0.114:6789/Smartv1.php?id=Cbeebies
Kids TV,http://192.168.0.114:6789/Smartv1.php?id=KidsTV
Boomerang,http://192.168.0.114:6789/Smartv1.php?id=Boomerang
Disney Taiwan,http://192.168.0.114:6789/Smartv1.php?id=disneytwn_twn
Momo TV,http://192.168.0.114:6789/Smartv1.php?id=momo1_twn
Animax,http://192.168.0.114:6789/Smartv1.php?id=Animax
靖天卡通台,http://192.168.0.114:6789/Smartv1.php?id=jingtiancartoon_twn
Boomerang Taiwan,http://192.168.0.114:6789/Smartv1.php?id=boomerang_twn
Baby TV,http://192.168.0.114:6789/Smartv1.php?id=babytv_twn
MiaoMi,http://192.168.0.114:6789/Smartv1.php?id=MiaoMi
東森幼幼 Yoyo TV,http://192.168.0.114:6789/Smartv1.php?id=yoyo_twn
Cartoon Network,http://192.168.0.114:6789/Smartv1.php?id=Cn
Nickelodeon,http://192.168.0.114:6789/Smartv1.php?id=Nickelodeon
Nick Jr,http://192.168.0.114:6789/Smartv1.php?id=Nickjr

紀錄頻道,#genre#
Natgeo_HD,http://192.168.0.114:6789/Smartv1.php?id=natgeohd_twn
NatGeo_Wild HD,http://192.168.0.114:6789/Smartv1.php?id=natgeowild_twn
Animal_Planet,http://192.168.0.114:6789/Smartv1.php?id=animalplanet_twn
Discovery Turbo,http://192.168.0.114:6789/Smartv1.php?id=discoveryturbo_twn
Discovery_Science,http://192.168.0.114:6789/Smartv1.php?id=discoverysc_twn
Discovery Asia,http://192.168.0.114:6789/Smartv1.php?id=discoverytwn_twn
CI,http://192.168.0.114:6789/Smartv1.php?id=ci_twn
Asia Travel,http://192.168.0.114:6789/Smartv1.php?id=asiatravel_twn
Discovery HD,http://192.168.0.114:6789/Smartv1.php?id=discoveryhd_twn
亞洲美食,http://192.168.0.114:6789/Smartv1.php?id=afc_twn
美食星球,http://192.168.0.114:6789/Smartv1.php?id=foodplanet_twn
亞洲旅遊 TLC Asia,http://192.168.0.114:6789/Smartv1.php?id=tlc_twn
NatGeo HD,http://192.168.0.114:6789/Smartv1.php?id=Natgeo
Fashion TV,http://192.168.0.114:6789/Smartv1.php?id=fashiontv_twn
History,http://192.168.0.114:6789/Smartv1.php?id=History
BBC Earth HD,http://192.168.0.114:6789/Smartv1.php?id=bbcearth_twn
BBC Earth Lifestyle,http://192.168.0.114:6789/Smartv1.php?id=bbclifestyle_twn
