香港,#genre#
电影频道|One,http://192.168.2.114:6789/smart2.php?id=One
电影频道|tvN Movie,http://192.168.2.114:6789/smart2.php?id=Tvnmovie
电影频道|Celestial Classic,http://192.168.2.114:6789/smart2.php?id=Celestial2
电影频道|Celestial Movies HD,http://192.168.2.114:6789/smart2.php?id=Celestialindo
电影频道|Axn HD,http://192.168.2.114:6789/smart2.php?id=Axn
电影频道|Paramount Network,http://192.168.2.114:6789/smart2.php?id=Paramountnetwork
电影频道|Astrol Kplus,http://192.168.2.114:6789/smart2.php?id=Kplus
电影频道|Rock Actions,http://192.168.2.114:6789/smart2.php?id=Rockaction
电影频道|Rock Entertainment,http://192.168.2.114:6789/smart2.php?id=Rockentertain
记录,#genre#
纪录频道|Natgeo_HD,http://192.168.2.114:6789/smart2.php?id=natgeohd_twn
纪录频道|NatGeo_Wild HD,http://192.168.2.114:6789/smart2.php?id=natgeowild_twn
纪录频道|Animal_Planet,http://192.168.2.114:6789/smart2.php?id=animalplanet_twn
纪录频道|Discovery Asia,http://192.168.2.114:6789/smart2.php?id=discoverytwn_twn
纪录频道|CI,http://192.168.2.114:6789/smart2.php?id=ci_twn
纪录频道|Asia Travel,http://192.168.2.114:6789/smart2.php?id=asiatravel_twn
纪录频道|Discovery HD,http://192.168.2.114:6789/smart2.php?id=discoveryhd_twn
纪录频道|亚洲美食,http://192.168.2.114:6789/smart2.php?id=afc_twn
纪录频道|美食星球,http://192.168.2.114:6789/smart2.php?id=foodplanet_twn
纪录频道|亚洲旅游 TLC Asia,http://192.168.2.114:6789/smart2.php?id=tlc_twn
纪录频道|NatGeo HD,http://192.168.2.114:6789/smart2.php?id=Natgeo
纪录频道|Fashion TV,http://192.168.2.114:6789/smart2.php?id=fashiontv_twn
纪录频道|History,http://192.168.2.114:6789/smart2.php?id=History
纪录频道|BBC Earth HD,http://192.168.2.114:6789/smart2.php?id=bbcearth_twn
纪录频道|BBC Earth Lifestyle,http://192.168.2.114:6789/smart2.php?id=bbclifestyle_twn
纪录频道|MTV Live,http://192.168.2.114:6789/smart2.php?id=mtvhd_twn
纪录频道|NatGeo Wild HD,http://192.168.2.114:6789/smart2.php?id=Natgeowild
纪录频道|Animal Planet (Eng),http://192.168.2.114:6789/smart2.php?id=AnimalPlanet
纪录频道|TLC,http://192.168.2.114:6789/smart2.php?id=Tlc
纪录频道|Foodnetwork Hd,http://192.168.2.114:6789/smart2.php?id=Foodnetwork
纪录频道|HGTV,http://192.168.2.114:6789/smart2.php?id=HGTV
纪录频道|AFC 亚洲旅游台,http://192.168.2.114:6789/smart2.php?id=asiatravel_twn
新闻,#genre#
新闻频道|Skynews,http://192.168.2.114:6789/smart2.php?id=skynews_twn
新闻频道|ABC News,http://192.168.2.114:6789/smart2.php?id=abcnews_glo
新闻频道|东森财经新闻 ETTV Business,http://192.168.2.114:6789/smart2.php?id=ettvcaijing_twn
新闻频道|CBS HD,http://192.168.2.114:6789/smart2.php?id=cbshd_glo
新闻频道|CBSN HD,http://192.168.2.114:6789/smart2.php?id=cbsn_glo
新闻频道|France 24,http://192.168.2.114:6789/smart2.php?id=france24_twn
新闻频道|DW (Deutsch),http://192.168.2.114:6789/smart2.php?id=dw_twn
新闻频道|NHK World,http://192.168.2.114:6789/smart2.php?id=nhkworld_japan
新闻频道|Fox News,http://192.168.2.114:6789/smart2.php?id=foxnews_twn
新闻频道|CGTN,http://192.168.2.114:6789/smart2.php?id=CGTN
新闻频道|CNN International,http://192.168.2.114:6789/smart2.php?id=Cnn
新闻频道|CNN backup,http://192.168.2.114:6789/smart2.php?id=cnn_twn
新闻频道|CNBC,http://192.168.2.114:6789/smart2.php?id=cnbc_twn
新闻频道|CNA,http://192.168.2.114:6789/smart2.php?id=cna
新闻频道|BBC World News,http://192.168.2.114:6789/smart2.php?id=bbcnews_twn
新闻频道|BBC World News,http://192.168.2.114:6789/smart2.php?id=Bbcnews
新闻频道|Bloomberg News,http://192.168.2.114:6789/smart2.php?id=bloomberg_twn
新闻频道|Al-Jazeera,http://192.168.2.114:6789/smart2.php?id=aljazeera_twn
儿童,#genre#
儿童频道|Baby TV Eng,http://192.168.2.114:6789/smart2.php?id=Babytv
儿童频道|CBeebies,http://192.168.2.114:6789/smart2.php?id=Cbeebies
儿童频道|Kids TV,http://192.168.2.114:6789/smart2.php?id=KidsTV
儿童频道|Momo TV,http://192.168.2.114:6789/smart2.php?id=momo1_twn
儿童频道|Animax,http://192.168.2.114:6789/smart2.php?id=Animax
儿童频道|Baby TV,http://192.168.2.114:6789/smart2.php?id=babytv_twn
儿童频道|MiaoMi,http://192.168.2.114:6789/smart2.php?id=MiaoMi
儿童频道|靖天卡通台,http://192.168.2.114:6789/smart2.php?id=jingtiancartoon_twn
儿童频道|东森幼幼 Yoyo TV,http://192.168.2.114:6789/smart2.php?id=yoyo_twn
儿童频道|Cartoon Network,http://192.168.2.114:6789/smart2.php?id=Cn
儿童频道|Nickelodeon,http://192.168.2.114:6789/smart2.php?id=Nickelodeon
儿童频道|Nick Jr,http://192.168.2.114:6789/smart2.php?id=Nickjr
新加坡,#genre#
新加坡|Channel 5,http://192.168.2.114:6789/smart2.php?id=Channel5HD
新加坡|Channel 8,http://192.168.2.114:6789/smart2.php?id=Channel8HD
新加坡|Suria,http://192.168.2.114:6789/smart2.php?id=Suria
新加坡|Channel U,http://192.168.2.114:6789/smart2.php?id=ChannelU
新加坡|Vasantham,http://192.168.2.114:6789/smart2.php?id=Vasantham
新加坡|CNA,http://192.168.2.114:6789/smart2.php?id=cna
新加坡|CNA backup,http://192.168.2.114:6789/smart2.php?id=cna_twn
新加坡|MeWatch Ch 5,http://192.168.2.114:6789/smart2.php?id=Mewatch_ch5
新加坡|MeWatch Ch 8,http://192.168.2.114:6789/smart2.php?id=Mewatch_ch8
新加坡|MeWatch Ch U,http://192.168.2.114:6789/smart2.php?id=Mewatch_chU
新加坡|MeWatch Suria,http://192.168.2.114:6789/smart2.php?id=Mewatch_Suria
新加坡|MeWatch Vasantham,http://192.168.2.114:6789/smart2.php?id=Mewatch_Vasantham
新加坡|MeWatch CNA,http://192.168.2.114:6789/smart2.php?id=Mewatch_cna
马来西亚,#genre#
马来西亚|TV1,http://192.168.2.114:6789/smart2.php?id=TV1
马来西亚|TV1 backup,http://192.168.2.114:6789/smart2.php?id=TV1_backup
马来西亚|TV2,http://192.168.2.114:6789/smart2.php?id=TV2
马来西亚|TV3,http://192.168.2.114:6789/smart2.php?id=TV3
马来西亚|TV3 SD,http://192.168.2.114:6789/smart2.php?id=TV3_mega
马来西亚|NTV7,http://192.168.2.114:6789/smart2.php?id=NTV7
马来西亚|TV8,http://192.168.2.114:6789/smart2.php?id=TV8
马来西亚|TV9,http://192.168.2.114:6789/smart2.php?id=TV9
马来西亚|Ria,http://192.168.2.114:6789/smart2.php?id=Ria
马来西亚|Ria-3,http://192.168.2.114:6789/smart2.php?id=Ria_backup
马来西亚|Al-Hijrah,http://192.168.2.114:6789/smart2.php?id=Alhijrah
马来西亚|Al-Hijrah backup,http://192.168.2.114:6789/smart2.php?id=Alhijrah_backup
马来西亚|Awani,http://192.168.2.114:6789/smart2.php?id=Awani
马来西亚|Bernama,http://192.168.2.114:6789/smart2.php?id=Bernama
马来西亚|Prima,http://192.168.2.114:6789/smart2.php?id=Prima
马来西亚|Prima backup,http://192.168.2.114:6789/smart2.php?id=AAprima1
马来西亚|Prima backup 2,http://192.168.2.114:6789/smart2.php?id=AAprima
马来西亚|Ceria,http://192.168.2.114:6789/smart2.php?id=Ceria
马来西亚|Astro MTV,http://192.168.2.114:6789/smart2.php?id=AstroMTV
马来西亚|Mecca Live HD,http://192.168.2.114:6789/smart2.php?id=quran_mido
马来西亚|Madinah HD,http://192.168.2.114:6789/smart2.php?id=sunnah_mido
马来西亚|Oasis,http://192.168.2.114:6789/smart2.php?id=Oasis
马来西亚|HBO HD,http://192.168.2.114:6789/smart2.php?id=Hbo
马来西亚|HBO Signature,http://192.168.2.114:6789/smart2.php?id=Hbosignature
马来西亚|HBO Hits,http://192.168.2.114:6789/smart2.php?id=Hbohitshd
马来西亚|NatGeo Wild HD,http://192.168.2.114:6789/smart2.php?id=Natgeowild
马来西亚|Cartoon Network,http://192.168.2.114:6789/smart2.php?id=Cn
马来西亚|Nickelodeon,http://192.168.2.114:6789/smart2.php?id=Nickelodeon
马来西亚|Nick Jr,http://192.168.2.114:6789/smart2.php?id=Nickjr
马来西亚|Dreamworks,http://192.168.2.114:6789/smart2.php?id=Dreamworks
马来西亚|Siar,http://192.168.2.114:6789/smart2.php?id=Siar
马来西亚|Citra,http://192.168.2.114:6789/smart2.php?id=AAcitra
马来西亚|Citra backup,http://192.168.2.114:6789/smart2.php?id=AAcitra1
马来西亚|Sensasi,http://192.168.2.114:6789/smart2.php?id=Sensasi
马来西亚|Aura,http://192.168.2.114:6789/smart2.php?id=Aura
马来西亚|Rania,http://192.168.2.114:6789/smart2.php?id=Rania
马来西亚|KBS World,http://192.168.2.114:6789/smart2.php?id=KBS
马来西亚|Boo,http://192.168.2.114:6789/smart2.php?id=Boo
马来西亚|Awesome TV,http://192.168.2.114:6789/smart2.php?id=Dsangat
马来西亚|Astro Sonypix,http://192.168.2.114:6789/smart2.php?id=Asonypix
马来西亚|Sony HD,http://192.168.2.114:6789/smart2.php?id=SetOne
马来西亚|TvN,http://192.168.2.114:6789/smart2.php?id=TVN
马来西亚|AEC,http://192.168.2.114:6789/smart2.php?id=AEC
马来西亚|华丽台 HD （Wah Lai Toi）,http://192.168.2.114:6789/smart2.php?id=Wlt
马来西亚|欢喜台 HD （Hua Hee Tai）,http://192.168.2.114:6789/smart2.php?id=Huahee
马来西亚|Astro QJ,http://192.168.2.114:6789/smart2.php?id=Quanjia
马来西亚|TVB Jade,http://192.168.2.114:6789/smart2.php?id=Tvbjade
马来西亚|TVB Asia,http://192.168.2.114:6789/smart2.php?id=Tvbasia
